StudentID,Age,Gender,Ethnicity,ParentalEducation,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Age_Category,,
1001,17,1,0,2,7,1,2,0,0,1,0,2.929195592,2,Teen,,## Data Cleaning & Preparation Summary
1002,18,0,0,1,0,0,1,0,0,0,0,3.042914833,1,Teen,,
1003,15,0,2,3,26,0,2,0,0,0,0,0.112602254,4,Teen,,"The dataset was cleaned and prepared to ensure accuracy, consistency, and suitability for analysis and modeling."
1004,17,1,0,3,14,0,3,1,0,0,0,2.05421814,3,Teen,,
1005,17,1,0,2,17,1,3,0,0,0,0,1.288061182,4,Teen,,steps
1006,18,0,0,1,0,0,1,1,0,0,0,3.084183614,1,Teen,,
1007,15,0,1,1,10,0,3,0,1,0,0,2.748237415,2,Teen,,1. **Missing Values Handling**
1008,15,1,1,4,22,1,1,1,0,0,0,1.360142712,4,Teen,,   - Numerical columns were filled using median values to avoid the impact of outliers.
1009,17,0,0,0,1,0,2,0,1,0,1,2.89681919,2,Teen,,"   - Categorical columns were filled using mode or labeled as ""Unknown""."
1010,16,1,0,1,0,0,3,1,0,0,0,3.57347421,0,Teen,,   - Irrelevant columns with excessive missing values were removed.
1011,17,0,0,1,11,0,1,0,0,0,0,2.147171625,3,Teen,,
1012,17,0,0,1,15,0,2,0,0,0,1,1.559594519,4,Teen,,2. **Duplicate Removal**
1013,17,0,1,1,21,0,3,1,0,0,0,1.520077815,4,Teen,,   - Duplicate records were identified and removed using `drop_duplicates()`.
1014,17,0,1,2,21,0,4,0,1,0,0,1.751580958,4,Teen,,   - Row count comparison before and after confirmed successful removal.
1015,18,1,0,1,9,1,2,0,0,0,0,2.396788117,3,Teen,,
1016,15,0,0,2,17,1,0,0,1,0,0,1.341520717,4,Teen,,3. **Data Type Conversion**
1017,18,0,3,1,14,0,2,1,1,0,0,2.232175278,3,Teen,,   - Date columns were converted from string to datetime format.
1018,18,1,0,0,16,1,2,0,0,0,0,1.384404176,4,Teen,,   - Numeric columns stored as text were converted to appropriate numeric types.
1019,18,0,1,3,29,0,2,1,0,0,1,0.469553323,4,Teen,,   - Categorical columns were optimized using category data types.
1020,17,0,0,1,9,0,2,0,0,1,0,2.395784095,3,Teen,,
1021,16,1,0,3,2,0,3,0,0,0,1,2.7784113,2,Teen,,4. **Feature Engineering**
1022,15,0,0,2,25,0,1,1,0,0,0,0.346894037,4,Teen,,"   - New columns such as Profit Margin, Age Category, Price Band, and Date-based features were created."
1023,16,1,1,0,29,1,1,0,0,0,0,0.312546231,4,Teen,,   - These transformations enhance analytical depth and business understanding.
1024,18,1,3,4,20,0,2,1,0,0,0,1.770131877,4,Teen,,
1025,18,1,0,1,15,0,2,0,0,0,0,1.505155622,4,Teen,,5. **Final Output**
1026,16,1,0,3,5,0,4,0,0,1,0,2.977851918,2,Teen,,"   - The cleaned dataset was saved as `cleaned_dataset.csv` for further analysis, SQL import, or visualization."
1027,16,0,0,1,2,0,2,0,1,0,0,2.948717672,2,Teen,,
1028,16,1,0,3,8,0,3,0,0,1,0,2.14520472,3,Teen,,"The final dataset is clean, structured, and ready for reporting or modeling."
1029,18,0,0,0,10,0,3,1,0,0,0,2.854803929,2,Teen,,
1030,18,0,0,2,20,0,3,1,0,0,0,1.519441726,4,Teen,,
1031,15,0,2,2,12,1,0,0,1,0,0,1.72712031,4,Teen,,
1032,15,0,0,3,17,0,4,0,0,0,1,1.847535471,4,Teen,,
1033,18,0,0,3,25,0,1,0,1,0,0,0.384616973,4,Teen,,
1034,16,0,3,3,21,0,0,1,1,0,0,0.949406098,4,Teen,,
1035,16,0,0,3,27,1,2,1,1,0,0,1.140959418,4,Teen,,
1036,15,0,3,1,23,0,1,0,0,0,0,0.26147226,4,Teen,,
1037,18,0,0,1,26,1,1,0,0,0,0,0.218284857,4,Teen,,
1038,15,0,2,1,21,1,1,0,1,0,0,1.067763551,4,Teen,,
1039,15,1,1,1,3,1,1,1,1,0,0,3.018905858,1,Teen,,
1040,17,1,2,1,21,1,3,1,1,0,0,1.526867832,4,Teen,,
1041,17,1,3,2,23,1,1,0,0,0,0,1.0582874,4,Teen,,
1042,17,0,0,1,7,0,2,0,0,0,0,2.625128098,2,Teen,,
1043,16,1,3,2,12,1,4,0,0,0,0,2.808754822,2,Teen,,
1044,18,1,0,1,9,0,2,0,1,0,0,2.888891669,2,Teen,,
1045,18,1,0,1,1,1,3,1,1,0,0,4,0,Teen,,
1046,18,0,0,2,7,0,4,0,0,1,0,2.515300272,2,Teen,,
1047,18,0,1,2,5,0,1,1,0,0,0,2.56376543,2,Teen,,
1048,17,0,0,2,15,0,2,0,0,0,0,1.703611803,4,Teen,,
1049,16,0,1,2,17,0,3,0,0,1,0,2.099885157,3,Teen,,
1050,16,1,1,1,16,0,4,1,0,0,0,2.461046963,3,Teen,,
1051,17,1,2,2,5,0,3,0,0,0,0,2.935477192,2,Teen,,
1052,16,1,2,0,12,1,1,1,0,1,0,1.986378059,4,Teen,,
1053,17,1,0,1,22,0,4,0,0,1,0,1.571544191,4,Teen,,
1054,18,0,0,2,13,0,1,0,1,0,0,1.66431069,4,Teen,,
1055,17,0,0,0,29,1,2,1,1,0,0,0.756259167,4,Teen,,
